ValueDate,Current Inst,MVA Inst,Volts Inst
2026-02-26T08:45:00+00:00,203.289,3.465,11.078
2026-02-26T08:50:00+00:00,201.144,3.465,11.093
2026-02-26T08:55:00+00:00,202.683,3.465,11.088
2026-02-26T09:00:00+00:00,203.18,3.465,11.099
2026-02-26T09:05:00+00:00,204.261,3.465,11.09
2026-02-26T09:10:00+00:00,206.246,3.465,11.106
2026-02-26T09:15:00+00:00,200.622,3.465,11.108
2026-02-26T09:20:00+00:00,193.132,3.465,11.116
2026-02-26T09:25:00+00:00,193.683,3.465,11.1
2026-02-26T09:30:00+00:00,193.317,3.465,11.116
2026-02-26T09:35:00+00:00,193.396,3.465,11.13
2026-02-26T09:40:00+00:00,198.032,3.465,11.104
2026-02-26T09:45:00+00:00,196.216,3.465,11.131
2026-02-26T09:50:00+00:00,190.417,3.465,11.16
2026-02-26T09:55:00+00:00,192.793,3.465,11.071
2026-02-26T10:00:00+00:00,190.332,3.465,11.048
2026-02-26T10:05:00+00:00,183.429,3.465,11.043
2026-02-26T10:10:00+00:00,182.536,3.465,11.024
2026-02-26T10:15:00+00:00,186.833,3.465,11.044
2026-02-26T10:20:00+00:00,187.13,3.465,11.062
2026-02-26T10:25:00+00:00,191.294,3.465,11.02
2026-02-26T10:30:00+00:00,191.862,3.465,11.012
2026-02-26T10:35:00+00:00,187.744,3.465,11.04
2026-02-26T10:40:00+00:00,178.957,3.465,11.014
2026-02-26T10:45:00+00:00,147.048,3.465,11.027
2026-02-26T10:50:00+00:00,150.745,3.465,11.019
2026-02-26T10:55:00+00:00,151.983,3.465,11.025
2026-02-26T11:00:00+00:00,156.454,3.465,11.026
2026-02-26T11:05:00+00:00,176.706,3.465,11.022
2026-02-26T11:10:00+00:00,170.841,3.465,11.028
2026-02-26T11:15:00+00:00,178.365,3.465,11.026
2026-02-26T11:20:00+00:00,178.066,3.465,11.05
2026-02-26T11:25:00+00:00,178.64,3.465,11.05
2026-02-26T11:30:00+00:00,179.071,3.465,11.045
2026-02-26T11:35:00+00:00,174.442,3.465,11.048
2026-02-26T11:40:00+00:00,174.332,3.465,11.075
2026-02-26T11:45:00+00:00,173.132,3.465,11.084
2026-02-26T11:50:00+00:00,172.914,3.465,11.084
2026-02-26T11:55:00+00:00,179.345,3.465,11.074
2026-02-26T12:00:00+00:00,191.671,3.465,11.07
2026-02-26T12:05:00+00:00,198.828,3.465,11.076
2026-02-26T12:10:00+00:00,188.93,3.465,11.074
2026-02-26T12:15:00+00:00,182.52,3.465,11.081
2026-02-26T12:20:00+00:00,180.132,3.465,11.076
2026-02-26T12:25:00+00:00,180.277,3.465,11.073
2026-02-26T12:30:00+00:00,177.401,3.465,11.077
2026-02-26T12:35:00+00:00,180.565,3.465,11.054
2026-02-26T12:40:00+00:00,186.672,3.465,11.038
2026-02-26T12:45:00+00:00,190.062,3.465,11.032
2026-02-26T12:50:00+00:00,192.654,3.465,11.012
2026-02-26T12:55:00+00:00,194.568,3.465,11.006
2026-02-26T13:00:00+00:00,197.03,3.465,11.019
2026-02-26T13:05:00+00:00,194.148,3.465,11.0
2026-02-26T13:10:00+00:00,191.389,3.465,10.986
2026-02-26T13:15:00+00:00,195.069,3.465,11.015
2026-02-26T13:20:00+00:00,190.408,3.465,11.024
2026-02-26T13:25:00+00:00,185.402,3.465,11.028
2026-02-26T13:30:00+00:00,184.778,3.465,10.985
2026-02-26T13:35:00+00:00,188.522,3.465,11.0
2026-02-26T13:40:00+00:00,185.048,3.465,10.98
2026-02-26T13:45:00+00:00,183.856,3.465,10.952
2026-02-26T13:50:00+00:00,186.833,3.465,10.948
2026-02-26T13:55:00+00:00,186.632,3.465,10.994
2026-02-26T14:00:00+00:00,185.636,3.465,10.98
2026-02-26T14:05:00+00:00,189.242,3.465,10.979
2026-02-26T14:10:00+00:00,187.774,3.465,10.984
2026-02-26T14:15:00+00:00,188.42,3.465,10.986
2026-02-26T14:20:00+00:00,187.906,3.465,11.002
2026-02-26T14:25:00+00:00,189.748,3.465,10.984
2026-02-26T14:30:00+00:00,190.453,3.465,10.965
2026-02-26T14:35:00+00:00,189.707,3.465,10.962
2026-02-26T14:40:00+00:00,190.946,3.465,11.018
2026-02-26T14:45:00+00:00,188.468,3.465,11.002
2026-02-26T14:50:00+00:00,189.314,3.465,11.004
2026-02-26T14:55:00+00:00,192.865,3.465,11.068
2026-02-26T15:00:00+00:00,193.55,3.465,11.11
2026-02-26T15:05:00+00:00,193.902,3.465,11.112
2026-02-26T15:10:00+00:00,190.61,3.465,11.074
2026-02-26T15:15:00+00:00,190.024,3.465,11.102
2026-02-26T15:20:00+00:00,188.416,3.465,11.126
2026-02-26T15:25:00+00:00,187.4,3.465,11.122
2026-02-26T15:30:00+00:00,189.593,3.465,11.098
2026-02-26T15:35:00+00:00,192.043,3.465,11.093
2026-02-26T15:40:00+00:00,195.771,3.465,11.058
2026-02-26T15:45:00+00:00,195.822,3.465,11.04
2026-02-26T15:50:00+00:00,197.882,3.465,10.992
2026-02-26T15:55:00+00:00,198.848,3.465,10.997
