ValueDate,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T03:15:00+00:00,1.774,0.787,-1.86,11.383
2026-02-26T03:20:00+00:00,1.774,0.787,-1.858,11.395
2026-02-26T03:25:00+00:00,1.774,0.788,-1.826,11.401
2026-02-26T03:30:00+00:00,1.774,0.793,-1.804,11.394
2026-02-26T03:35:00+00:00,1.774,0.788,-1.77,11.36
2026-02-26T03:40:00+00:00,1.774,0.792,-1.779,11.298
2026-02-26T03:45:00+00:00,1.774,0.792,-1.781,11.274
2026-02-26T03:50:00+00:00,1.774,0.787,-1.761,11.284
2026-02-26T03:55:00+00:00,1.774,0.797,-1.728,11.294
2026-02-26T04:00:00+00:00,1.774,0.8,-1.694,11.301
2026-02-26T04:05:00+00:00,1.774,0.804,-1.713,11.242
2026-02-26T04:10:00+00:00,1.774,0.815,-1.686,11.25
2026-02-26T04:15:00+00:00,1.774,0.818,-1.713,11.25
2026-02-26T04:20:00+00:00,1.774,0.813,-1.721,11.248
2026-02-26T04:25:00+00:00,1.774,0.808,-1.709,11.244
2026-02-26T04:30:00+00:00,1.774,0.801,-1.67,11.246
2026-02-26T04:35:00+00:00,1.774,0.811,-1.65,11.249
2026-02-26T04:40:00+00:00,1.774,0.801,-1.656,11.256
2026-02-26T04:45:00+00:00,1.774,0.798,-1.642,11.278
2026-02-26T04:50:00+00:00,1.774,0.792,-1.661,11.279
2026-02-26T04:55:00+00:00,1.774,0.79,-1.667,11.28
2026-02-26T05:00:00+00:00,1.774,0.796,-1.662,11.339
2026-02-26T05:05:00+00:00,1.774,0.794,-1.64,11.305
2026-02-26T05:10:00+00:00,1.774,0.804,-1.62,11.295
2026-02-26T05:15:00+00:00,1.774,0.816,-1.611,11.3
2026-02-26T05:20:00+00:00,1.774,0.8,-1.616,11.307
2026-02-26T05:25:00+00:00,1.774,0.787,-1.653,11.289
2026-02-26T05:30:00+00:00,1.774,0.794,-1.65,11.288
2026-02-26T05:35:00+00:00,1.774,0.796,-1.627,11.278
2026-02-26T05:40:00+00:00,1.774,0.787,-1.646,11.26
2026-02-26T05:45:00+00:00,1.774,0.77,-1.66,11.259
2026-02-26T05:50:00+00:00,1.774,0.772,-1.67,11.321
2026-02-26T05:55:00+00:00,1.774,0.777,-1.657,11.352
2026-02-26T06:00:00+00:00,1.774,0.79,-1.668,11.34
2026-02-26T06:05:00+00:00,1.774,0.78,-1.703,11.278
2026-02-26T06:10:00+00:00,1.774,0.754,-1.761,11.346
2026-02-26T06:15:00+00:00,1.774,0.734,-1.812,11.379
2026-02-26T06:20:00+00:00,1.774,0.748,-1.814,11.417
2026-02-26T06:25:00+00:00,1.774,0.747,-1.814,11.39
2026-02-26T06:30:00+00:00,1.774,0.756,-1.804,11.376
2026-02-26T06:35:00+00:00,1.774,0.755,-1.86,11.338
2026-02-26T06:40:00+00:00,1.774,0.751,-1.875,11.286
2026-02-26T06:45:00+00:00,1.774,0.747,-1.886,11.301
2026-02-26T06:50:00+00:00,1.774,0.736,-1.882,11.368
2026-02-26T06:55:00+00:00,1.774,0.732,-1.938,11.345
2026-02-26T07:00:00+00:00,1.774,0.751,-1.935,11.326
2026-02-26T07:05:00+00:00,1.774,0.748,-1.936,11.285
2026-02-26T07:10:00+00:00,1.774,0.753,-1.957,11.235
2026-02-26T07:15:00+00:00,1.774,0.742,-1.976,11.318
2026-02-26T07:20:00+00:00,1.774,0.735,-1.986,11.272
2026-02-26T07:25:00+00:00,1.774,0.733,-2.016,11.257
2026-02-26T07:30:00+00:00,1.774,0.734,-2.013,11.242
2026-02-26T07:35:00+00:00,1.774,0.712,-2.021,11.196
2026-02-26T07:40:00+00:00,1.774,0.72,-2.024,11.266
2026-02-26T07:45:00+00:00,1.774,0.705,-2.047,11.275
2026-02-26T07:50:00+00:00,1.774,0.71,-2.068,11.279
2026-02-26T07:55:00+00:00,1.774,0.704,-2.083,11.268
2026-02-26T08:00:00+00:00,1.774,0.716,-2.075,11.263
2026-02-26T08:05:00+00:00,1.774,0.712,-2.13,11.27
2026-02-26T08:10:00+00:00,1.774,0.708,-2.127,11.288
2026-02-26T08:15:00+00:00,1.774,0.708,-2.072,11.305
2026-02-26T08:20:00+00:00,1.774,0.691,-2.116,11.266
2026-02-26T08:25:00+00:00,1.774,0.708,-2.09,11.274
2026-02-26T08:30:00+00:00,1.774,0.704,-2.078,11.271
2026-02-26T08:35:00+00:00,1.774,0.707,-2.116,11.283
2026-02-26T08:40:00+00:00,1.774,0.72,-2.1,11.298
2026-02-26T08:45:00+00:00,1.774,0.712,-2.113,11.3
2026-02-26T08:50:00+00:00,1.774,0.709,-2.066,11.297
2026-02-26T08:55:00+00:00,1.774,0.7,-2.064,11.272
2026-02-26T09:00:00+00:00,1.774,0.71,-2.074,11.241
2026-02-26T09:05:00+00:00,1.774,0.717,-2.063,11.234
2026-02-26T09:10:00+00:00,1.774,0.718,-2.079,11.238
2026-02-26T09:15:00+00:00,1.774,0.725,-2.062,11.242
2026-02-26T09:20:00+00:00,1.774,0.737,-2.058,11.285
2026-02-26T09:25:00+00:00,1.774,0.723,-2.052,11.285
2026-02-26T09:30:00+00:00,1.774,0.712,-1.982,11.296
2026-02-26T09:35:00+00:00,1.774,0.715,-1.959,11.308
2026-02-26T09:40:00+00:00,1.774,0.713,-1.963,11.323
2026-02-26T09:45:00+00:00,1.774,0.726,-1.93,11.334
2026-02-26T09:50:00+00:00,1.774,0.73,-1.94,11.343
2026-02-26T09:55:00+00:00,1.774,0.74,-1.982,11.355
