SETT_DATE,SETT_PERIOD,Energy Imbalance,Frequency Control,Positive Reserve,Constraints,Negative Reserve,Other
2024-04-04,42,-5768.526,906.3059945065595,16617.95,1860.981,0.0,1125.1960054934405
2024-04-04,43,-4509.21,1739.6648327361531,19712.965,3744.3896642116943,0.0,1057.1435030521525
2024-04-04,44,-1644.819,855.959,10671.086,13423.027,0.0,6598.458
2024-04-04,45,1056.713,39.005,16298.405976756165,14607.079023243836,0.0,1.901e-37
2024-04-04,46,6062.034,40.99139238489943,36446.18505098186,14256.658637512875,0.0,85.7889191203655
2024-04-04,47,-4199.507,1657.827,90587.253,2604.933,866.1325920943009,11140.129407905699
2024-04-04,48,15.144,2035.6652357251742,96140.02973084089,11447.60715901815,771.736,295.6648744157801
2024-04-05,1,7008.655,2579.7258429671724,0.0,120544.99431738202,224.61,4073.153839650801
2024-04-05,2,681.834,1723.3060780094386,0.0,120542.07575122839,186.628,1030.3551707621739
2024-04-05,3,-1912.93,2961.751,0.0,122991.376,1562.7451768962894,9846.77182310371
2024-04-05,4,-495.116,3302.7839999999997,0.0,125862.395,2330.3983039031464,3076.9226960968535
2024-04-05,5,488.888,7005.613951553203,0.0,130426.2829620673,0.601,6549.401086379501
2024-04-05,6,-753.167,0.0,0.0,126875.863,2.189,2887.244
2024-04-05,7,1618.26,0.0,0.0,136535.91,0.0,-2214.632
2024-04-05,8,3671.098,0.0,0.0,141739.499,0.0,-5954.708
2024-04-05,9,2574.903,0.0,145102.793,799.751,0.0,-3499.571
2024-04-05,10,2017.705,0.0,140067.886,522.276,-1.532,-3494.275
2024-04-05,11,2986.107,0.0,0.0,139056.471,-4.751,18504.047
2024-04-05,12,2750.29,0.0,143882.265,-3877.325,0.0,33771.494
2024-04-05,13,244.923,0.0,138306.744,6646.053,-9.849,16824.429
2024-04-05,14,255.742,0.0,124954.09766129867,10053.538653754775,0.0,12753.212684946555
