"Settlement Date","Settlement Period","Outturn Inertia","Market Provided Inertia"
2025-04-23,16,211,207
2025-04-23,17,212,209
2025-04-23,18,212,209
2025-04-23,19,212,209
2025-04-23,20,212,209
2025-04-23,21,209,209
2025-04-23,22,209,209
2025-04-23,23,206,206
2025-04-23,24,207,207
2025-04-23,25,207,207
2025-04-23,26,207,207
2025-04-23,27,206,206
2025-04-23,28,205,205
2025-04-23,29,204,207
2025-04-23,30,207,209
2025-04-23,31,206,208
2025-04-23,32,226,209
2025-04-23,33,236,233
2025-04-23,34,241,244
2025-04-23,35,247,250
2025-04-23,36,247,247
2025-04-23,37,250,250
2025-04-23,38,251,256
2025-04-23,39,251,251
2025-04-23,40,251,251
2025-04-23,41,249,249
2025-04-23,42,248,249
2025-04-23,43,246,246
2025-04-23,44,244,245
2025-04-23,45,233,234
2025-04-23,46,204,207
2025-04-23,47,184,186
2025-04-23,48,172,170
2025-04-24,1,172,171
2025-04-24,2,171,166
2025-04-24,3,164,165
2025-04-24,4,164,165
2025-04-24,5,164,165
2025-04-24,6,163,164
2025-04-24,7,163,164
2025-04-24,8,165,166
2025-04-24,9,167,168
2025-04-24,10,162,168
2025-04-24,11,183,189
2025-04-24,12,184,190
2025-04-24,13,190,196
2025-04-24,14,193,198
2025-04-24,15,197,203
2025-04-24,16,199,204
2025-04-24,17,199,205
2025-04-24,18,199,205
2025-04-24,19,202,204
2025-04-24,20,200,202
2025-04-24,21,199,202
2025-04-24,22,200,199
2025-04-24,23,196,191
2025-04-24,24,196,191
2025-04-24,25,193,192
2025-04-24,26,190,193
2025-04-24,27,190,192
2025-04-24,28,189,191
2025-04-24,29,188,190
2025-04-24,30,186,189
2025-04-24,31,192,188
2025-04-24,32,205,199
2025-04-24,33,211,198
2025-04-24,34,216,199
2025-04-24,35,224,214
2025-04-24,36,225,220
2025-04-24,37,227,222
2025-04-24,38,227,223
2025-04-24,39,230,217
2025-04-24,40,231,214
2025-04-24,41,221,217
2025-04-24,42,220,210
2025-04-24,43,218,213
2025-04-24,44,217,227
2025-04-24,45,206,204
2025-04-24,46,189,190
2025-04-24,47,177,173
2025-04-24,48,158,151
2025-04-25,1,155,148
2025-04-25,2,155,148
2025-04-25,3,155,147
2025-04-25,4,155,150
2025-04-25,5,155,150
2025-04-25,6,154,149
2025-04-25,7,154,150
2025-04-25,8,154,149
2025-04-25,9,155,150
2025-04-25,10,155,150
2025-04-25,11,171,158
2025-04-25,12,177,159
2025-04-25,13,181,163
2025-04-25,14,185,168
2025-04-25,15,186,181
2025-04-25,16,188,183
2025-04-25,17,188,171
2025-04-25,18,188,171
2025-04-25,19,189,175
2025-04-25,20,182,171
2025-04-25,21,182,176
2025-04-25,22,180,174
2025-04-25,23,169,159
2025-04-25,24,170,172
2025-04-25,25,162,159
2025-04-25,26,163,164
2025-04-25,27,161,167
2025-04-25,28,160,166
2025-04-25,29,159,165
2025-04-25,30,159,164
2025-04-25,31,172,171
2025-04-25,32,189,177
2025-04-25,33,191,179
2025-04-25,34,200,190
2025-04-25,35,216,197
2025-04-25,36,219,200
2025-04-25,37,222,200
2025-04-25,38,224,215
2025-04-25,39,224,215
2025-04-25,40,224,198
2025-04-25,41,222,214
2025-04-25,42,221,202
2025-04-25,43,221,219
2025-04-25,44,223,209
2025-04-25,45,206,207
2025-04-25,46,196,174
2025-04-25,47,177,160
2025-04-25,48,164,137
2025-04-26,1,158,138
2025-04-26,2,154,137
2025-04-26,3,150,136
2025-04-26,4,150,136
2025-04-26,5,149,136
2025-04-26,6,149,135
2025-04-26,7,149,135
2025-04-26,8,148,135
2025-04-26,9,149,142
2025-04-26,10,149,142
2025-04-26,11,148,134
2025-04-26,12,148,134
2025-04-26,13,149,135
2025-04-26,14,152,141
2025-04-26,15,153,143
2025-04-26,16,150,138
2025-04-26,17,149,149
2025-04-26,18,145,137
2025-04-26,19,146,139
2025-04-26,20,147,140
2025-04-26,21,147,140
2025-04-26,22,149,142
2025-04-26,23,149,142
2025-04-26,24,152,142
2025-04-26,25,151,149
2025-04-26,26,144,144
2025-04-26,27,143,140
2025-04-26,28,142,139
2025-04-26,29,142,139
2025-04-26,30,142,139
2025-04-26,31,141,138
2025-04-26,32,141,138
2025-04-26,33,155,144
2025-04-26,34,163,148
2025-04-26,35,167,160
2025-04-26,36,174,167
2025-04-26,37,175,160
2025-04-26,38,176,154
2025-04-26,39,175,162
2025-04-26,40,176,169
2025-04-26,41,176,162
2025-04-26,42,176,154
2025-04-26,43,174,153
2025-04-26,44,175,159
2025-04-26,45,160,143
2025-04-26,46,149,136
2025-04-26,47,142,126
2025-04-26,48,126,110
2025-04-27,1,117,101
2025-04-27,2,112,87
2025-04-27,3,109,94
2025-04-27,4,109,94
2025-04-27,5,114,83
2025-04-27,6,113,83
2025-04-27,7,113,91
2025-04-27,8,112,81
2025-04-27,9,112,81
2025-04-27,10,122,107
2025-04-27,11,122,78
2025-04-27,12,123,79
2025-04-27,13,120,79
2025-04-27,14,121,89
2025-04-27,15,123,82
2025-04-27,16,129,83
2025-04-27,17,131,92
2025-04-27,18,129,78
2025-04-27,19,123,78
2025-04-27,20,123,86
2025-04-27,21,124,94
2025-04-27,22,124,83
2025-04-27,23,126,84
2025-04-27,24,127,82
2025-04-27,25,128,87
2025-04-27,26,124,108
2025-04-27,27,120,103
2025-04-27,28,120,82
2025-04-27,29,119,81
2025-04-27,30,119,80
2025-04-27,31,118,83
2025-04-27,32,129,89
2025-04-27,33,134,111
2025-04-27,34,139,111
2025-04-27,35,157,129
2025-04-27,36,160,139
2025-04-27,37,164,141
2025-04-27,38,165,141
2025-04-27,39,167,145
2025-04-27,40,168,146
2025-04-27,41,168,147
2025-04-27,42,169,159
2025-04-27,43,170,145
2025-04-27,44,169,144
2025-04-27,45,162,140
2025-04-27,46,159,137
2025-04-27,47,142,117
2025-04-27,48,137,107
2025-04-28,1,136,114
2025-04-28,2,135,118
2025-04-28,3,135,106
2025-04-28,4,135,105
2025-04-28,5,134,105
2025-04-28,6,134,104
2025-04-28,7,142,113
2025-04-28,8,146,117
2025-04-28,9,146,120
2025-04-28,10,150,128
2025-04-28,11,158,144
2025-04-28,12,160,146
2025-04-28,13,169,160
2025-04-28,14,176,160
2025-04-28,15,176,154
2025-04-28,16,178,167
2025-04-28,17,176,157
2025-04-28,18,177,158
2025-04-28,19,177,159
2025-04-28,20,177,175
2025-04-28,21,172,164
2025-04-28,22,166,157
2025-04-28,23,162,154
2025-04-28,24,162,153
2025-04-28,25,161,152
2025-04-28,26,158,157
2025-04-28,27,152,152
2025-04-28,28,155,154
2025-04-28,29,162,161
2025-04-28,30,164,161
2025-04-28,31,163,164
2025-04-28,32,188,169
2025-04-28,33,215,207
2025-04-28,34,232,219
2025-04-28,35,241,225
2025-04-28,36,241,231
2025-04-28,37,251,242
2025-04-28,38,252,241
2025-04-28,39,253,242
2025-04-28,40,253,242
2025-04-28,41,252,241
2025-04-28,42,252,241
2025-04-28,43,244,235
2025-04-28,44,234,227
2025-04-28,45,234,222
2025-04-28,46,225,216
2025-04-28,47,211,198
2025-04-28,48,193,173
2025-04-29,1,180,160
2025-04-29,2,179,159
2025-04-29,3,179,159
2025-04-29,4,171,159
2025-04-29,5,171,159
2025-04-29,6,171,158
2025-04-29,7,170,155
2025-04-29,8,170,155
2025-04-29,9,170,155
2025-04-29,10,173,161
2025-04-29,11,178,162
2025-04-29,12,186,163
2025-04-29,13,190,172
2025-04-29,14,198,174
2025-04-29,15,200,177
2025-04-29,16,191,178
2025-04-29,17,193,180
2025-04-29,18,192,179
2025-04-29,19,189,180
2025-04-29,20,190,180
2025-04-29,21,183,173
2025-04-29,22,173,171
2025-04-29,23,160,158
2025-04-29,24,160,158
2025-04-29,25,159,157
2025-04-29,26,154,152
2025-04-29,27,154,151
2025-04-29,28,153,151
2025-04-29,29,153,151
2025-04-29,30,153,151
2025-04-29,31,155,153
2025-04-29,32,165,163
2025-04-29,33,191,186
2025-04-29,34,205,199
2025-04-29,35,214,212
2025-04-29,36,233,231
2025-04-29,37,239,237
2025-04-29,38,247,244
2025-04-29,39,251,249
2025-04-29,40,255,249
2025-04-29,41,252,250
2025-04-29,42,251,248
2025-04-29,43,246,243
2025-04-29,44,243,241
2025-04-29,45,235,229
2025-04-29,46,230,221
2025-04-29,47,217,203
2025-04-29,48,184,178
2025-04-30,1,177,171
2025-04-30,2,177,170
2025-04-30,3,176,170
2025-04-30,4,176,170
2025-04-30,5,176,170
2025-04-30,6,175,169
2025-04-30,7,175,169
2025-04-30,8,175,168
2025-04-30,9,187,176
2025-04-30,10,190,172
2025-04-30,11,191,173
2025-04-30,12,192,173
2025-04-30,13,194,175
2025-04-30,14,197,179
2025-04-30,15,200,182
2025-04-30,16,191,177
2025-04-30,17,192,183
2025-04-30,18,192,186
2025-04-30,19,192,178
2025-04-30,20,189,178
2025-04-30,21,182,169
2025-04-30,22,168,162
2025-04-30,23,162,151
2025-04-30,24,163,160
2025-04-30,25,155,152
2025-04-30,26,155,152
2025-04-30,27,155,152
2025-04-30,28,154,151
2025-04-30,29,154,150
2025-04-30,30,155,155
2025-04-30,31,152,149
2025-04-30,32,158,156
2025-04-30,33,184,184
2025-04-30,34,215,204
2025-04-30,35,227,224
2025-04-30,36,236,228
2025-04-30,37,239,231
2025-04-30,38,241,238
2025-04-30,39,242,239
2025-04-30,40,243,241
2025-04-30,41,241,234
2025-04-30,42,242,239
2025-04-30,43,240,232
2025-04-30,44,237,235
2025-04-30,45,230,223
2025-04-30,46,225,209
2025-04-30,47,202,185
2025-04-30,48,188,167
2025-05-01,1,183,157
2025-05-01,2,177,157
2025-05-01,3,177,165
2025-05-01,4,169,155
2025-05-01,5,168,155
2025-05-01,6,168,155
2025-05-01,7,168,155
2025-05-01,8,167,154
2025-05-01,9,168,155
2025-05-01,10,168,155
2025-05-01,11,168,155
2025-05-01,12,172,159
2025-05-01,13,175,159
2025-05-01,14,177,161
2025-05-01,15,181,163
2025-05-01,16,176,164
2025-05-01,17,177,171
2025-05-01,18,178,172
2025-05-01,19,171,167
2025-05-01,20,171,162
2025-05-01,21,171,162
2025-05-01,22,167,151
2025-05-01,23,159,148
2025-05-01,24,160,141
2025-05-01,25,157,141
2025-05-01,26,157,141
2025-05-01,27,153,140
2025-05-01,28,153,140
2025-05-01,29,152,140
2025-05-01,30,151,149
2025-05-01,31,156,144
2025-05-01,32,159,154
2025-05-01,33,176,164
2025-05-01,34,204,184
2025-05-01,35,229,216
2025-05-01,36,232,208
2025-05-01,37,236,222
2025-05-01,38,236,223
2025-05-01,39,237,217
2025-05-01,40,236,217
2025-05-01,41,237,212
2025-05-01,42,236,211
2025-05-01,43,227,210
2025-05-01,44,220,211
2025-05-01,45,222,204
2025-05-01,46,200,180
2025-05-01,47,190,170
2025-05-01,48,169,161
2025-05-02,1,163,140
2025-05-02,2,162,144
2025-05-02,3,161,151
2025-05-02,4,161,143
2025-05-02,5,154,143
2025-05-02,6,154,138
2025-05-02,7,153,146
2025-05-02,8,148,145
2025-05-02,9,149,149
2025-05-02,10,150,146
2025-05-02,11,149,149
2025-05-02,12,153,150
2025-05-02,13,159,147
2025-05-02,14,162,151
2025-05-02,15,165,154
2025-05-02,16,166,155
2025-05-02,17,162,166
2025-05-02,18,162,157
2025-05-02,19,160,155
2025-05-02,20,157,166
2025-05-02,21,156,155
2025-05-02,22,156,146
2025-05-02,23,156,146
2025-05-02,24,157,139
2025-05-02,25,145,135
2025-05-02,26,142,141
2025-05-02,27,141,134
2025-05-02,28,140,139
2025-05-02,29,139,140
2025-05-02,30,139,146
2025-05-02,31,138,144
2025-05-02,32,138,149
2025-05-02,33,142,146
2025-05-02,34,157,159
2025-05-02,35,180,173
2025-05-02,36,187,194
2025-05-02,37,191,200
2025-05-02,38,192,192
2025-05-02,39,194,204
2025-05-02,40,194,193
2025-05-02,41,193,193
2025-05-02,42,193,192
2025-05-02,43,193,190
2025-05-02,44,191,184
2025-05-02,45,189,183
2025-05-02,46,190,180
2025-05-02,47,160,150
2025-05-02,48,146,138
2025-05-03,1,133,132
2025-05-03,2,130,121
2025-05-03,3,130,118
2025-05-03,4,127,115
2025-05-03,5,126,115
2025-05-03,6,114,105
2025-05-03,7,114,95
2025-05-03,8,114,94
2025-05-03,9,114,94
2025-05-03,10,114,91
2025-05-03,11,114,91
2025-05-03,12,114,88
2025-05-03,13,115,89
2025-05-03,14,115,89
2025-05-03,15,116,90
2025-05-03,16,118,99
2025-05-03,17,117,91
2025-05-03,18,116,80
2025-05-03,19,117,81
2025-05-03,20,118,82
2025-05-03,21,118,82
2025-05-03,22,118,82
2025-05-03,23,119,82
2025-05-03,24,119,91
2025-05-03,25,119,97
2025-05-03,26,119,82
2025-05-03,27,118,81
2025-05-03,28,117,81
2025-05-03,29,117,80
2025-05-03,30,116,80
2025-05-03,31,116,80
2025-05-03,32,116,79
2025-05-03,33,109,80
2025-05-03,34,109,80
2025-05-03,35,111,82
2025-05-03,36,113,82
2025-05-03,37,115,83
2025-05-03,38,114,83
2025-05-03,39,114,92
2025-05-03,40,114,90
2025-05-03,41,113,82
2025-05-03,42,113,90
2025-05-03,43,114,82
2025-05-03,44,113,82
2025-05-03,45,115,84
2025-05-03,46,123,79
2025-05-03,47,126,83
2025-05-03,48,125,89
2025-05-04,1,124,74
2025-05-04,2,123,73
2025-05-04,3,123,73
2025-05-04,4,122,72
2025-05-04,5,120,72
2025-05-04,6,118,70
2025-05-04,7,118,70
2025-05-04,8,118,70
2025-05-04,9,117,70
2025-05-04,10,117,69
2025-05-04,11,117,70
2025-05-04,12,117,70
2025-05-04,13,117,69
2025-05-04,14,115,75
2025-05-04,15,116,69
2025-05-04,16,119,72
2025-05-04,17,121,73
2025-05-04,18,125,75
2025-05-04,19,123,76
2025-05-04,20,120,77
2025-05-04,21,118,93
2025-05-04,22,119,79
2025-05-04,23,116,86
2025-05-04,24,118,88
2025-05-04,25,118,81
2025-05-04,26,118,81
2025-05-04,27,116,82
2025-05-04,28,117,84
2025-05-04,29,117,83
2025-05-04,30,117,83
2025-05-04,31,116,86
2025-05-04,32,119,86
2025-05-04,33,124,94
2025-05-04,34,125,101
2025-05-04,35,133,110
2025-05-04,36,134,111
2025-05-04,37,134,111
2025-05-04,38,134,110
2025-05-04,39,145,139
2025-05-04,40,145,131
2025-05-04,41,145,131
2025-05-04,42,144,123
2025-05-04,43,144,125
2025-05-04,44,143,124
2025-05-04,45,141,120
2025-05-04,46,139,118
2025-05-04,47,129,108
2025-05-04,48,120,99
2025-05-05,1,119,98
2025-05-05,2,119,112
2025-05-05,3,119,98
2025-05-05,4,118,97
2025-05-05,5,118,106
2025-05-05,6,118,97
2025-05-05,7,117,96
2025-05-05,8,117,96
2025-05-05,9,117,111
2025-05-05,10,117,97
2025-05-05,11,121,101
2025-05-05,12,121,107
2025-05-05,13,122,119
2025-05-05,14,123,111
2025-05-05,15,122,110
2025-05-05,16,122,118
2025-05-05,17,124,112
2025-05-05,18,119,99
2025-05-05,19,118,109
2025-05-05,20,114,105
2025-05-05,21,116,111
2025-05-05,22,117,111
2025-05-05,23,116,113
2025-05-05,24,115,101
2025-05-05,25,116,109
2025-05-05,26,117,102
2025-05-05,27,119,104
2025-05-05,28,123,109
2025-05-05,29,128,114
2025-05-05,30,127,121
2025-05-05,31,128,122
2025-05-05,32,138,123
2025-05-05,33,145,144
2025-05-05,34,170,160
2025-05-05,35,177,175
2025-05-05,36,178,175
2025-05-05,37,178,175
2025-05-05,38,186,179
2025-05-05,39,187,180
2025-05-05,40,188,185
2025-05-05,41,187,184
2025-05-05,42,187,184
2025-05-05,43,187,184
2025-05-05,44,186,183
2025-05-05,45,182,173
2025-05-05,46,180,171
2025-05-05,47,168,149
2025-05-05,48,167,141
2025-05-06,1,162,137
2025-05-06,2,162,137
2025-05-06,3,162,137
2025-05-06,4,162,136
2025-05-06,5,162,137
2025-05-06,6,161,136
2025-05-06,7,154,135
2025-05-06,8,156,138
2025-05-06,9,156,147
2025-05-06,10,161,152
2025-05-06,11,167,155
2025-05-06,12,168,156
2025-05-06,13,177,160
2025-05-06,14,182,165
2025-05-06,15,187,184
2025-05-06,16,188,178
2025-05-06,17,189,171
2025-05-06,18,190,187
2025-05-06,19,189,177
2025-05-06,20,190,187
2025-05-06,21,190,172
2025-05-06,22,191,180
2025-05-06,23,183,173
2025-05-06,24,191,181
2025-05-06,25,183,173
2025-05-06,26,174,172
2025-05-06,27,179,177
2025-05-06,28,177,175
2025-05-06,29,184,182
2025-05-06,30,183,181
2025-05-06,31,185,183
2025-05-06,32,195,193
2025-05-06,33,195,193
2025-05-06,34,202,200
2025-05-06,35,222,219
2025-05-06,36,222,220
2025-05-06,37,223,220
2025-05-06,38,224,222
2025-05-06,39,224,223
2025-05-06,40,224,223
2025-05-06,41,224,224
2025-05-06,42,224,222
2025-05-06,43,231,222
2025-05-06,44,229,220
2025-05-06,45,226,217
2025-05-06,46,212,203
2025-05-06,47,201,192
2025-05-06,48,200,177
2025-05-07,1,190,167
2025-05-07,2,189,167
2025-05-07,3,189,167
2025-05-07,4,189,167
2025-05-07,5,189,166
2025-05-07,6,188,166
2025-05-07,7,180,164
2025-05-07,8,183,167
2025-05-07,9,186,176
2025-05-07,10,194,176
2025-05-07,11,196,175
2025-05-07,12,199,179
2025-05-07,13,201,183
2025-05-07,14,212,186
2025-05-07,15,212,187
2025-05-07,16,213,187
2025-05-07,17,213,190
2025-05-07,18,213,190
2025-05-07,19,204,188
2025-05-07,20,196,180
2025-05-07,21,192,180
2025-05-07,22,182,173
2025-05-07,23,169,172
2025-05-07,24,169,172
2025-05-07,25,169,172
2025-05-07,26,169,172
2025-05-07,27,168,171
2025-05-07,28,166,169
2025-05-07,29,169,169
2025-05-07,30,180,175
2025-05-07,31,192,173
2025-05-07,32,197,183
2025-05-07,33,198,188
2025-05-07,34,225,206
2025-05-07,35,224,214
2025-05-07,36,234,224
2025-05-07,37,231,227
2025-05-07,38,232,228
2025-05-07,39,240,230
2025-05-07,40,241,230
2025-05-07,41,241,231
2025-05-07,42,242,230
2025-05-07,43,239,227
2025-05-07,44,235,223
2025-05-07,45,233,214
2025-05-07,46,204,184
2025-05-07,47,200,180
2025-05-07,48,164,156
2025-05-08,1,163,155
2025-05-08,2,165,155
2025-05-08,3,165,157
2025-05-08,4,165,159
2025-05-08,5,172,156
2025-05-08,6,171,155
2025-05-08,7,166,156
2025-05-08,8,165,156
2025-05-08,9,177,167
2025-05-08,10,177,167
2025-05-08,11,189,176
2025-05-08,12,190,188
2025-05-08,13,193,183
2025-05-08,14,197,190
2025-05-08,15,202,188
2025-05-08,16,198,189
2025-05-08,17,205,188
2025-05-08,18,206,197
2025-05-08,19,204,187
2025-05-08,20,199,182
2025-05-08,21,200,182
2025-05-08,22,200,191
2025-05-08,23,181,174
2025-05-08,24,179,176
2025-05-08,25,176,173
2025-05-08,26,176,172
2025-05-08,27,175,175
2025-05-08,28,174,171
2025-05-08,29,180,170
2025-05-08,30,183,170
2025-05-08,31,192,177
2025-05-08,32,193,177
2025-05-08,33,200,188
2025-05-08,34,223,219
2025-05-08,35,226,226
2025-05-08,36,230,230
2025-05-08,37,233,238
2025-05-08,38,234,234
2025-05-08,39,235,236
2025-05-08,40,235,236
2025-05-08,41,235,236
2025-05-08,42,235,235
2025-05-08,43,231,231
2025-05-08,44,230,235
2025-05-08,45,229,229
2025-05-08,46,217,222
2025-05-08,47,214,203
2025-05-08,48,192,177
2025-05-09,1,168,167
2025-05-09,2,165,171
2025-05-09,3,165,171
2025-05-09,4,165,168
2025-05-09,5,165,167
2025-05-09,6,164,167
2025-05-09,7,163,166
2025-05-09,8,166,169
2025-05-09,9,166,170
2025-05-09,10,170,173
2025-05-09,11,171,174
2025-05-09,12,172,175
2025-05-09,13,175,178
2025-05-09,14,176,179
2025-05-09,15,178,180
2025-05-09,16,179,181
2025-05-09,17,180,183
2025-05-09,18,181,184
2025-05-09,19,189,178
2025-05-09,20,178,172
2025-05-09,21,177,163
2025-05-09,22,169,146
2025-05-09,23,150,137
2025-05-09,24,140,127
2025-05-09,25,133,127
2025-05-09,26,133,127
2025-05-09,27,133,126
2025-05-09,28,132,125
2025-05-09,29,131,124
2025-05-09,30,130,124
2025-05-09,31,138,125
2025-05-09,32,143,130
2025-05-09,33,152,147
2025-05-09,34,178,165
2025-05-09,35,194,185
2025-05-09,36,198,188
2025-05-09,37,198,197
2025-05-09,38,201,192
2025-05-09,39,203,201
2025-05-09,40,200,195
2025-05-09,41,200,194
2025-05-09,42,207,194
2025-05-09,43,205,200
2025-05-09,44,204,191
2025-05-09,45,203,190
2025-05-09,46,201,188
2025-05-09,47,190,165
2025-05-09,48,163,154
2025-05-10,1,153,144
2025-05-10,2,147,135
2025-05-10,3,147,137
2025-05-10,4,138,135
2025-05-10,5,138,134
2025-05-10,6,145,135
2025-05-10,7,145,135
2025-05-10,8,145,135
2025-05-10,9,142,132
2025-05-10,10,142,132
2025-05-10,11,142,132
2025-05-10,12,141,131
2025-05-10,13,141,130
2025-05-10,14,148,132
2025-05-10,15,143,134
2025-05-10,16,141,127
2025-05-10,17,135,125
2025-05-10,18,135,119
2025-05-10,19,134,121
2025-05-10,20,131,110
2025-05-10,21,118,96
2025-05-10,22,115,87
2025-05-10,23,115,84
2025-05-10,24,116,93
2025-05-10,25,115,92
2025-05-10,26,115,84
2025-05-10,27,115,92
2025-05-10,28,114,83
2025-05-10,29,113,82
2025-05-10,30,113,82
2025-05-10,31,114,82
2025-05-10,32,114,82
2025-05-10,33,117,85
2025-05-10,34,131,99
2025-05-10,35,148,130
2025-05-10,36,145,134
2025-05-10,37,149,137
2025-05-10,38,149,138
2025-05-10,39,153,148
2025-05-10,40,154,145
2025-05-10,41,155,145
2025-05-10,42,157,145
2025-05-10,43,157,148
2025-05-10,44,156,140
2025-05-10,45,154,138
2025-05-10,46,152,136
2025-05-10,47,145,126
2025-05-10,48,134,103
2025-05-11,1,134,107
2025-05-11,2,127,101
2025-05-11,3,124,90
2025-05-11,4,124,83
2025-05-11,5,120,83
2025-05-11,6,115,78
2025-05-11,7,115,78
2025-05-11,8,115,78
2025-05-11,9,115,86
2025-05-11,10,114,86
2025-05-11,11,114,74
2025-05-11,12,113,73
2025-05-11,13,113,74
2025-05-11,14,113,74
2025-05-11,15,114,96
2025-05-11,16,115,75
2025-05-11,17,117,77
2025-05-11,18,115,86
2025-05-11,19,117,88
2025-05-11,20,115,81
2025-05-11,21,116,82
2025-05-11,22,117,83
2025-05-11,23,118,92
2025-05-11,24,119,93
2025-05-11,25,119,85
2025-05-11,26,120,93
2025-05-11,27,119,84
2025-05-11,28,118,84
2025-05-11,29,117,98
2025-05-11,30,117,85
2025-05-11,31,117,84
2025-05-11,32,123,96
2025-05-11,33,137,109
2025-05-11,34,149,126
2025-05-11,35,158,139
2025-05-11,36,159,140
2025-05-11,37,160,141
2025-05-11,38,152,141
2025-05-11,39,151,143
2025-05-11,40,151,143
2025-05-11,41,151,142
2025-05-11,42,151,149
2025-05-11,43,151,154
2025-05-11,44,150,142
2025-05-11,45,149,140
2025-05-11,46,145,134
2025-05-11,47,136,115
2025-05-11,48,127,106
2025-05-12,1,126,105
2025-05-12,2,126,105
2025-05-12,3,126,105
2025-05-12,4,128,104
2025-05-12,5,128,104
2025-05-12,6,130,114
2025-05-12,7,130,106
2025-05-12,8,135,106
2025-05-12,9,135,106
2025-05-12,10,135,116
2025-05-12,11,145,131
2025-05-12,12,150,140
2025-05-12,13,155,147
2025-05-12,14,160,149
2025-05-12,15,168,155
2025-05-12,16,169,154
2025-05-12,17,171,153
2025-05-12,18,168,153
2025-05-12,19,170,155
2025-05-12,20,171,155
2025-05-12,21,170,155
2025-05-12,22,163,148
2025-05-12,23,160,145
2025-05-12,24,157,141
2025-05-12,25,158,142
2025-05-12,26,155,143
2025-05-12,27,154,142
2025-05-12,28,154,142
2025-05-12,29,153,141
2025-05-12,30,152,141
2025-05-12,31,154,140
2025-05-12,32,162,145
2025-05-12,33,162,153
2025-05-12,34,179,164
2025-05-12,35,190,171
2025-05-12,36,190,171
2025-05-12,37,190,168
2025-05-12,38,187,169
2025-05-12,39,189,171
2025-05-12,40,189,171
2025-05-12,41,189,171
2025-05-12,42,188,170
2025-05-12,43,190,172
2025-05-12,44,189,170
2025-05-12,45,190,162
2025-05-12,46,185,157
2025-05-12,47,153,136
2025-05-12,48,144,121
2025-05-13,1,141,120
2025-05-13,2,140,119
2025-05-13,3,140,116
2025-05-13,4,139,113
2025-05-13,5,146,117
2025-05-13,6,145,117
2025-05-13,7,144,130
2025-05-13,8,148,120
2025-05-13,9,152,124
2025-05-13,10,152,128
2025-05-13,11,160,139
2025-05-13,12,168,140
2025-05-13,13,172,147
2025-05-13,14,175,150
2025-05-13,15,176,154
2025-05-13,16,178,156
2025-05-13,17,171,156
2025-05-13,18,172,157
2025-05-13,19,173,158
2025-05-13,20,169,154
2025-05-13,21,164,155
2025-05-13,22,156,143
2025-05-13,23,150,144
2025-05-13,24,147,142
2025-05-13,25,147,141
2025-05-13,26,147,140
2025-05-13,27,146,140
2025-05-13,28,146,139
2025-05-13,29,145,138
2025-05-13,30,144,138
2025-05-13,31,143,137
2025-05-13,32,148,142
2025-05-13,33,156,149
2025-05-13,34,159,153
2025-05-13,35,172,168
2025-05-13,36,174,173
2025-05-13,37,177,176
2025-05-13,38,178,174
2025-05-13,39,182,177
2025-05-13,40,183,178
2025-05-13,41,184,179
2025-05-13,42,182,177
2025-05-13,43,184,180
2025-05-13,44,185,174
2025-05-13,45,189,173
2025-05-13,46,179,160
2025-05-13,47,174,151
2025-05-13,48,170,144
2025-05-14,1,165,137
2025-05-14,2,161,129
2025-05-14,3,161,129
2025-05-14,4,161,128
2025-05-14,5,160,128
2025-05-14,6,160,132
2025-05-14,7,159,132
2025-05-14,8,159,127
2025-05-14,9,158,131
2025-05-14,10,158,130
2025-05-14,11,158,126
2025-05-14,12,159,127
2025-05-14,13,162,130
2025-05-14,14,165,132
2025-05-14,15,167,135
2025-05-14,16,155,137
2025-05-14,17,156,139
2025-05-14,18,156,138
2025-05-14,19,153,140
2025-05-14,20,148,133
2025-05-14,21,136,118
2025-05-14,22,130,108
2025-05-14,23,127,110
2025-05-14,24,119,101
2025-05-14,25,122,102
2025-05-14,26,123,103
2025-05-14,27,122,102
2025-05-14,28,124,101
2025-05-14,29,124,102
2025-05-14,30,123,100
2025-05-14,31,128,100
2025-05-14,32,129,103
2025-05-14,33,130,108
2025-05-14,34,143,124
2025-05-14,35,151,140
2025-05-14,36,163,153
2025-05-14,37,163,152
2025-05-14,38,165,154
2025-05-14,39,167,161
2025-05-14,40,167,156
2025-05-14,41,166,155
2025-05-14,42,166,155
2025-05-14,43,174,155
2025-05-14,44,176,167
2025-05-14,45,179,166
2025-05-14,46,170,156
2025-05-14,47,148,132
2025-05-14,48,119,103
2025-05-15,1,118,110
2025-05-15,2,118,109
2025-05-15,3,117,101
2025-05-15,4,116,101
2025-05-15,5,116,108
2025-05-15,6,116,103
2025-05-15,7,119,103
2025-05-15,8,118,99
2025-05-15,9,118,111
2025-05-15,10,118,111
2025-05-15,11,130,125
2025-05-15,12,146,127
2025-05-15,13,158,139
2025-05-15,14,159,155
2025-05-15,15,162,144
2025-05-15,16,153,140
2025-05-15,17,157,146
2025-05-15,18,157,144
2025-05-15,19,151,138
2025-05-15,20,151,149
2025-05-15,21,148,138
2025-05-15,22,149,146
2025-05-15,23,147,132
2025-05-15,24,140,123
2025-05-15,25,137,115
2025-05-15,26,137,115
2025-05-15,27,140,119
2025-05-15,28,139,118
2025-05-15,29,137,118
2025-05-15,30,149,125
2025-05-15,31,156,129
2025-05-15,32,156,129
2025-05-15,33,162,144
