Date,Settlement Period,EBCA (£),EBVA (MWh),ESCA (£),ESVA (MWh),SBVA (MWh),SSVA (MWh),BPA (£/MWh),SPA (£/MWh)
09/04/2013,23,0,0,0,0,0,0,6.27,0
09/04/2013,24,0,0,0,0,0,0,7.58,0
09/04/2013,25,0,0,0,0,0,0,5.78,0
09/04/2013,26,0,0,0,0,0,0,2.34,0
09/04/2013,27,0,0,0,0,0,0,0.33,0
09/04/2013,28,0,0,0,0,0,0,0,0
09/04/2013,29,0,0,0,0,0,0,0,0
09/04/2013,30,0,0,0,0,0,0,0,0
09/04/2013,31,0,0,0,0,0,0,0,0
09/04/2013,32,0,0,0,0,0,0,0,0
09/04/2013,33,0,0,0,0,0,0,0,0
09/04/2013,34,0,0,0,0,0,0,0,0
09/04/2013,35,0,0,0,0,0,0,0,0
09/04/2013,36,0,0,0,0,0,0,0,0
09/04/2013,37,0,0,0,0,0,0,0,0
09/04/2013,38,0,0,0,0,0,0,0,0
09/04/2013,39,0,0,0,0,0,0,2.73,0
09/04/2013,40,0,0,0,0,0,0,7.55,0
09/04/2013,41,0,0,0,0,0,0,9.42,0
09/04/2013,42,0,0,0,0,0,0,8.31,0
09/04/2013,43,0,0,0,0,0,0,6.59,0
09/04/2013,44,0,0,0,0,0,0,1.46,0
09/04/2013,45,0,0,0,0,0,0,0,0
09/04/2013,46,0,0,0,0,0,0,0,0
09/04/2013,47,0,0,0,0,0,0,0,0
09/04/2013,48,0,0,0,0,0,0,0,0
10/04/2013,1,0,0,0,0,0,0,0,0
10/04/2013,2,0,0,0,0,0,0,0,0
10/04/2013,3,0,0,0,0,0,0,0,0
10/04/2013,4,0,0,0,0,0,0,0,0
10/04/2013,5,0,0,0,0,0,0,0,0
10/04/2013,6,0,0,0,0,0,0,0,0
10/04/2013,7,0,0,0,0,0,0,0,0
10/04/2013,8,0,0,0,0,0,0,0,0
10/04/2013,9,0,0,0,0,0,0,0,0
10/04/2013,10,0,0,0,0,0,0,0,0
10/04/2013,11,0,0,0,0,0,0,0,0
10/04/2013,12,0,0,0,0,0,0,0,0
10/04/2013,13,0,0,0,0,0,0,0,0
10/04/2013,14,0,0,0,0,0,0,0,0
10/04/2013,15,0,0,0,0,0,0,3.12,0
10/04/2013,16,0,0,0,0,0,0,6.7,0
10/04/2013,17,0,0,0,0,0,0,6.88,0
10/04/2013,18,0,0,0,0,0,0,9.72,0
10/04/2013,19,0,0,0,0,0,0,10.82,0
10/04/2013,20,0,0,0,0,0,0,8.02,0
10/04/2013,21,0,0,0,0,0,0,6.47,0
10/04/2013,22,0,0,0,0,0,0,5.62,0
10/04/2013,23,0,0,0,0,0,0,6.34,0
10/04/2013,24,0,0,0,0,0,0,7.67,0
10/04/2013,25,0,0,0,0,0,0,5.85,0
10/04/2013,26,0,0,0,0,0,0,2.37,0
10/04/2013,27,0,0,0,0,0,0,0.34,0
10/04/2013,28,0,0,0,0,0,0,0,0
10/04/2013,29,0,0,0,0,0,0,0,0
10/04/2013,30,0,0,0,0,0,0,0,0
10/04/2013,31,0,0,0,0,0,0,0,0
10/04/2013,32,0,0,0,0,0,0,0,0
10/04/2013,33,0,0,0,0,0,0,0,0
10/04/2013,34,0,0,0,0,0,0,0,0
10/04/2013,35,0,0,0,0,0,0,0,0
10/04/2013,36,0,0,0,0,0,0,0,0
10/04/2013,37,0,0,0,0,0,0,0,0
10/04/2013,38,0,0,0,0,0,0,0,0
10/04/2013,39,0,0,0,0,0,0,2.71,0
10/04/2013,40,0,0,0,0,0,0,7.5,0
10/04/2013,41,0,0,0,0,0,0,9.36,0
10/04/2013,42,0,0,0,0,0,0,8.26,0
10/04/2013,43,0,0,0,0,0,0,6.55,0
10/04/2013,44,0,0,0,0,0,0,1.45,0
10/04/2013,45,0,0,0,0,0,0,0,0
10/04/2013,46,0,0,0,0,0,0,0,0
10/04/2013,47,0,0,0,0,0,0,0,0
10/04/2013,48,0,0,0,0,0,0,0,0
11/04/2013,1,0,0,0,0,0,0,0,0
11/04/2013,2,0,0,0,0,0,0,0,0
11/04/2013,3,0,0,0,0,0,0,0,0
11/04/2013,4,0,0,0,0,0,0,0,0
11/04/2013,5,0,0,0,0,0,0,0,0
11/04/2013,6,0,0,0,0,0,0,0,0
11/04/2013,7,0,0,0,0,0,0,0,0
11/04/2013,8,0,0,0,0,0,0,0,0
11/04/2013,9,0,0,0,0,0,0,0,0
11/04/2013,10,0,0,0,0,0,0,0,0
11/04/2013,11,0,0,0,0,0,0,0,0
11/04/2013,12,0,0,0,0,0,0,0,0
11/04/2013,13,0,0,0,0,0,0,0,0
11/04/2013,14,0,0,0,0,0,0,0,0
11/04/2013,15,0,0,0,0,0,0,3.08,0
11/04/2013,16,0,0,0,0,0,0,6.61,0
11/04/2013,17,0,0,0,0,0,0,6.78,0
11/04/2013,18,0,0,0,0,0,0,9.58,0
11/04/2013,19,0,0,0,0,0,0,10.67,0
11/04/2013,20,0,0,0,0,0,0,7.91,0
11/04/2013,21,0,0,0,0,0,0,6.38,0
11/04/2013,22,0,0,0,0,0,0,5.54,0
11/04/2013,23,0,0,0,0,0,0,6.26,0
