Year,DNO,Import Unique Identifier,LLFC,Import MPANs/MSIDs,Export Unique Identifier,LLFC,Export MPANs/MSIDs,Name,Residual Charging Band,Import Super Red unit charge (p/kWh),Import fixed charge (p/day),Import capacity charge (p/kVA/day),Import exceeded capacity charge (p/kVA/day),Export Super Red unit charge (p/kWh),Export fixed charge (p/day),Export capacity charge (p/kVA/day),Export exceeded capacity charge (p/kVA/day),Strike
2024/25,London Electricity Network,BISHPC,,1200061143976;1200061143985,,,,BISHPC,3.0,0.11,23723.85,2.26,2.26,,,,,
2024/25,London Electricity Network,CRLIMM,,1200062090483;1200062090492,,,,CRLIMM,4.0,0.012,74054.54,1.27,1.27,,,,,
2024/25,London Electricity Network,DART11,,MSID: 1032,,,,DART11,2.0,0.232,10711.44,6.9,6.9,,,,,
2024/25,London Electricity Network,EPNLEI,,MSID: 1628,,,,EPNLEI,4.0,0.012,62395.63,3.8,3.8,,,,,
2024/25,London Electricity Network,LNWAL1,,1200061148194;1200061148200,,,,LNWAL1,1.0,0.119,3025.65,3.07,3.07,,,,,
2024/25,London Electricity Network,LU_LOT,,1200050376902;1200050376911,,,,LU_LOT,4.0,,113242.67,2.77,2.77,,,,,
2024/25,London Electricity Network,NR_BRO,,1200010251559,,,,NR_BRO,4.0,,65807.16,1.63,1.63,,,,,
2024/25,London Electricity Network,NR_CIT,,1200010251521,,,,NR_CIT,1.0,0.001,2244.86,1.41,1.41,,,,,
2024/25,London Electricity Network,NR_MAD,,1200010251540,,,,NR_MAD,1.0,0.003,2352.01,1.04,1.04,,,,,
2024/25,London Electricity Network,NR_W11,,1200010251512,,,,NR_W11,3.0,,32042.82,2.38,2.38,,,,,
2024/25,London Electricity Network,NR_WES,716,1200010251568,NR_WES,716,1200052486875,NR_WES,4.0,,70043.11,2.49,2.49,,606.94,0.05,0.05,
2024/25,London Electricity Network,NR_WHI,,1200050493611,,,,NR_WHI,1.0,0.179,2244.86,1.97,1.97,,,,,
2024/25,London Electricity Network,VOLTDC,,1200061148032;1200061148041,,,,VOLTDC,2.0,0.113,11574.83,2.3,2.3,,,,,
2024/25,London Electricity Network,SELCHP,730,1200010175650,SELCHP,730,1200010258304,SELCHP,,0.105,458.93,0.88,0.88,-0.105,4867.47,0.05,0.05,True
2024/25,London Electricity Network,TLRSLN,,MSID: 5538,TLRSLN,,MSID: 5538,TLRSLN,1.0,0.006,2137.71,0.88,0.88,-0.006,,0.05,0.05,
2024/25,South Eastern England Electricity Network,BEDDIN,,1900070745640;1900070745650;1900070745669;1900070745678,,,,BEDDIN,2.0,0.005,16076.25,1.45,1.45,,,,,
2024/25,South Eastern England Electricity Network,BP_OIL,,1900017426438;1900017426447,,,,BP_OIL,1.0,0.312,2865.31,1.43,1.43,,,,,
2024/25,South Eastern England Electricity Network,CHESDC,,ENET,,,,CHESDC,3.0,0.004,33041.98,0.99,0.99,,,,,
2024/25,South Eastern England Electricity Network,EUROTU,,1900060219605,,,,EUROTU,4.0,,220981.93,0.74,0.74,,,,,
2024/25,South Eastern England Electricity Network,NP_LAB,,1900047386380,,,,NP_LAB,1.0,1.888,3238.38,3.07,3.07,,,,,
2024/25,South Eastern England Electricity Network,NR_3BR,,1900060219145,,,,NR_3BR,4.0,0.815,68534.37,2.73,2.73,,,,,
2024/25,South Eastern England Electricity Network,NR_AFD,,1900060219377,,,,NR_AFD,3.0,1.802,36594.39,2.42,2.42,,,,,
2024/25,South Eastern England Electricity Network,NR_ASH,,1900070068129,,,,NR_ASH,3.0,0.341,36594.39,2.78,2.78,,,,,
2024/25,South Eastern England Electricity Network,NR_BRI,,1900060218675,,,,NR_BRI,4.0,0.405,68534.37,2.22,2.22,,,,,
2024/25,South Eastern England Electricity Network,NR_BYF,,1900060218727,,,,NR_BYF,4.0,0.364,68534.37,1.95,1.95,,,,,
2024/25,South Eastern England Electricity Network,NR_EAS,,1900060218912,,,,NR_EAS,2.0,1.26,16959.97,3.08,3.08,,,,,
2024/25,South Eastern England Electricity Network,NR_THA,,1900060219720;1900060219794,,,,NR_THA,2.0,1.788,16959.97,2.43,2.43,,,,,
2024/25,South Eastern England Electricity Network,PFIZER,,1900060219544,,,1900060858356,PFIZER,2.0,,19440.83,1.14,1.14,,,,,
2024/25,South Eastern England Electricity Network,THAMES,732,1900016424857,THAMES,732,1900060576611,THAMES,2.0,0.756,20906.49,3.14,3.14,-0.482,2943.17,0.05,0.05,
2024/25,South Eastern England Electricity Network,TWHK66,692,1900091206176,TWHK66,692,1900091206194,TWHK66,2.0,7.429,16211.32,2.34,2.34,-8.002,51.46,0.05,0.05,
