Data,Unit ID,Time From,Time To,Pair ID,Availability Power,Utilisation Price,Service ID
AV,EDFE-8,2025-10-09T23:00:00,2025-10-09T23:30:00,-1,0.0,60.88,NQR
AV,EDFE-21,2025-10-09T23:00:00,2025-10-09T23:30:00,1,0.0,110.0,PQR
AV,EDFE-11,2025-10-09T23:00:00,2025-10-09T23:30:00,-1,0.0,60.88,NQR
AV,EDFE-11,2025-10-09T23:00:00,2025-10-09T23:30:00,1,0.0,110.79,PQR
AV,EDFE-11,2025-10-09T23:30:00,2025-10-10T00:00:00,-1,0.0,61.18,NQR
AV,EDFE-11,2025-10-09T23:30:00,2025-10-10T00:00:00,1,0.0,109.64,PQR
AV,EDFE-8,2025-10-09T23:30:00,2025-10-10T00:00:00,1,0.0,137.98,PQR
AV,EDFE-8,2025-10-09T23:30:00,2025-10-10T00:00:00,-1,0.0,61.76,NQR
AV,EDFE-21,2025-10-09T23:30:00,2025-10-10T00:00:00,1,0.0,111.65,PQR
AV,EDFE-21,2025-10-09T23:30:00,2025-10-10T00:00:00,-1,0.0,62.55,NQR
AV,EDFE-8,2025-10-10T00:00:00,2025-10-10T00:30:00,-1,0.0,61.76,NQR
AV,EDFE-11,2025-10-10T00:00:00,2025-10-10T00:30:00,-1,0.0,61.18,NQR
AV,EDFE-21,2025-10-10T00:00:00,2025-10-10T00:30:00,-1,0.0,62.55,NQR
AV,EDFE-11,2025-10-10T00:00:00,2025-10-10T00:30:00,1,0.0,108.49,PQR
AV,EDFE-8,2025-10-10T00:00:00,2025-10-10T00:30:00,1,0.0,108.49,PQR
AV,EDFE-21,2025-10-10T00:00:00,2025-10-10T00:30:00,1,0.0,110.47,PQR
AV,EDFE-21,2025-10-10T00:30:00,2025-10-10T01:00:00,1,0.0,110.47,PQR
AV,EDFE-8,2025-10-10T00:30:00,2025-10-10T01:00:00,1,0.0,108.49,PQR
AV,EDFE-8,2025-10-10T00:30:00,2025-10-10T01:00:00,-1,0.0,60.88,NQR
AV,EDFE-11,2025-10-10T00:30:00,2025-10-10T01:00:00,-1,0.0,60.88,NQR
AV,EDFE-21,2025-10-10T00:30:00,2025-10-10T01:00:00,-1,0.0,61.66,NQR
AV,EDFE-11,2025-10-10T00:30:00,2025-10-10T01:00:00,1,0.0,108.49,PQR
AV,EDFE-11,2025-10-10T01:00:00,2025-10-10T01:30:00,-1,0.0,61.18,NQR
AV,EDFE-21,2025-10-10T01:00:00,2025-10-10T01:30:00,-1,0.0,66.0,NQR
AV,EDFE-8,2025-10-10T01:00:00,2025-10-10T01:30:00,1,0.0,109.64,PQR
AV,EDFE-11,2025-10-10T01:00:00,2025-10-10T01:30:00,1,0.0,109.64,PQR
AV,EDFE-21,2025-10-10T01:00:00,2025-10-10T01:30:00,1,0.0,111.65,PQR
AV,EDFE-8,2025-10-10T01:00:00,2025-10-10T01:30:00,-1,0.0,65.21,NQR
AV,EDFE-11,2025-10-10T01:30:00,2025-10-10T02:00:00,-1,0.0,61.18,NQR
AV,EDFE-8,2025-10-10T01:30:00,2025-10-10T02:00:00,-1,0.0,-49.33,NQR
AV,EDFE-21,2025-10-10T01:30:00,2025-10-10T02:00:00,-1,0.0,68.0,NQR
AV,EDFE-21,2025-10-10T01:30:00,2025-10-10T02:00:00,1,0.0,121.11,PQR
AV,EDFE-11,2025-10-10T01:30:00,2025-10-10T02:00:00,1,0.0,118.83,PQR
AV,EDFE-8,2025-10-10T01:30:00,2025-10-10T02:00:00,1,0.0,118.83,PQR
AV,EDFE-8,2025-10-10T02:00:00,2025-10-10T02:30:00,-1,0.0,-44.66,NQR
AV,EDFE-11,2025-10-10T02:00:00,2025-10-10T02:30:00,-1,0.0,61.18,NQR
AV,EDFE-11,2025-10-10T02:00:00,2025-10-10T02:30:00,1,0.0,115.38,PQR
AV,EDFE-21,2025-10-10T02:00:00,2025-10-10T02:30:00,-1,0.0,68.0,NQR
AV,EDFE-21,2025-10-10T02:00:00,2025-10-10T02:30:00,1,0.0,117.57,PQR
AV,EDFE-8,2025-10-10T02:00:00,2025-10-10T02:30:00,1,0.0,115.38,PQR
AV,EDFE-11,2025-10-10T02:30:00,2025-10-10T03:00:00,-1,0.0,61.18,NQR
AV,EDFE-21,2025-10-10T02:30:00,2025-10-10T03:00:00,1,0.0,122.29,PQR
AV,EDFE-8,2025-10-10T02:30:00,2025-10-10T03:00:00,-1,0.0,65.26,NQR
AV,EDFE-21,2025-10-10T02:30:00,2025-10-10T03:00:00,-1,0.0,70.59,NQR
AV,EDFE-8,2025-10-10T02:30:00,2025-10-10T03:00:00,1,0.0,119.98,PQR
AV,EDFE-11,2025-10-10T02:30:00,2025-10-10T03:00:00,1,0.0,119.98,PQR
AV,EDFE-21,2025-10-10T03:00:00,2025-10-10T03:30:00,1,0.0,118.75,PQR
AV,EDFE-8,2025-10-10T03:00:00,2025-10-10T03:30:00,1,0.0,116.53,PQR
AV,EDFE-11,2025-10-10T03:00:00,2025-10-10T03:30:00,1,0.0,116.53,PQR
AV,EDFE-8,2025-10-10T03:00:00,2025-10-10T03:30:00,-1,0.0,66.21,NQR
AV,EDFE-21,2025-10-10T03:00:00,2025-10-10T03:30:00,-1,0.0,67.0,NQR
AV,EDFE-11,2025-10-10T03:00:00,2025-10-10T03:30:00,-1,0.0,61.18,NQR
AV,EDFE-8,2025-10-10T03:30:00,2025-10-10T04:00:00,1,0.0,119.98,PQR
AV,EDFE-21,2025-10-10T03:30:00,2025-10-10T04:00:00,1,0.0,122.29,PQR
AV,EDFE-11,2025-10-10T03:30:00,2025-10-10T04:00:00,1,0.0,119.98,PQR
AV,EDFE-8,2025-10-10T03:30:00,2025-10-10T04:00:00,-1,0.0,63.21,NQR
AV,EDFE-21,2025-10-10T03:30:00,2025-10-10T04:00:00,-1,0.0,64.0,NQR
AV,EDFE-11,2025-10-10T03:30:00,2025-10-10T04:00:00,-1,0.0,61.18,NQR
AV,EDFE-11,2025-10-10T04:00:00,2025-10-10T04:30:00,1,0.0,131.48,PQR
AV,EDFE-21,2025-10-10T04:00:00,2025-10-10T04:30:00,1,0.0,132.22,PQR
AV,EDFE-8,2025-10-10T04:00:00,2025-10-10T04:30:00,-1,0.0,77.72,NQR
AV,EDFE-21,2025-10-10T04:00:00,2025-10-10T04:30:00,-1,0.0,66.33,NQR
AV,EDFE-8,2025-10-10T04:00:00,2025-10-10T04:30:00,1,0.0,131.48,PQR
AV,EDFE-11,2025-10-10T04:00:00,2025-10-10T04:30:00,-1,0.0,61.18,NQR
AV,EDFE-8,2025-10-10T04:30:00,2025-10-10T05:00:00,1,0.0,139.24,PQR
AV,EDFE-8,2025-10-10T04:30:00,2025-10-10T05:00:00,-1,0.0,78.06,NQR
AV,EDFE-21,2025-10-10T04:30:00,2025-10-10T05:00:00,1,0.0,138.45,PQR
AV,EDFE-11,2025-10-10T04:30:00,2025-10-10T05:00:00,1,0.0,139.24,PQR
AV,EDFE-21,2025-10-10T04:30:00,2025-10-10T05:00:00,-1,0.0,67.29,NQR
AV,EDFE-11,2025-10-10T04:30:00,2025-10-10T05:00:00,-1,0.0,61.18,NQR
AV,EDFE-8,2025-10-10T05:00:00,2025-10-10T05:30:00,-1,0.0,66.18,NQR
AV,EDFE-11,2025-10-10T05:00:00,2025-10-10T05:30:00,-1,0.0,61.18,NQR
AV,EDFE-21,2025-10-10T05:00:00,2025-10-10T05:30:00,-1,0.0,67.97,NQR
AV,EDFE-8,2025-10-10T05:00:00,2025-10-10T05:30:00,1,0.0,137.05,PQR
AV,EDFE-21,2025-10-10T05:00:00,2025-10-10T05:30:00,1,0.0,136.26,PQR
AV,EDFE-11,2025-10-10T05:00:00,2025-10-10T05:30:00,1,0.0,138.79,PQR
AV,EDFE-11,2025-10-10T05:30:00,2025-10-10T06:00:00,1,0.0,138.37,PQR
AV,EDFE-21,2025-10-10T05:30:00,2025-10-10T06:00:00,1,0.0,124.0,PQR
AV,EDFE-8,2025-10-10T05:30:00,2025-10-10T06:00:00,1,0.0,124.79,PQR
AV,EDFE-8,2025-10-10T05:30:00,2025-10-10T06:00:00,-1,0.0,66.18,NQR
